,predict,name,position,team
0,3.28,Aaron Connolly,FWD,Brighton
1,3.19,Aaron Cresswell,DEF,West Ham
2,2.0066666666666664,Aaron Lennon,MID,Burnley
3,3.26,Aaron Ramsdale,GK,Sheffield Utd
4,2.32,Aaron Ramsey,MID,Aston Villa
5,1.32,Aaron Wan-Bissaka,DEF,Man Utd
6,2.5066666666666664,Abdoulaye Doucouré,MID,Everton
7,0.95,Abu Kamara,FWD,Norwich
8,2.45,Adam Armstrong,FWD,Southampton
9,1.78,Adam Forshaw,MID,Leeds
10,1.3704705882352943,Adam Idah,FWD,Norwich
11,3.39,Adam Lallana,MID,Brighton
12,2.23,Adam Masina,DEF,Watford
13,2.54,Adam Webster,DEF,Brighton
14,4.06,Adama Traoré,MID,Wolves
15,3.11,Adedapo Awokoya-Mebude,FWD,Watford
16,3.02,Ademola Lookman,MID,Fulham
17,1.94,Adrián San Miguel del Castillo,GK,Liverpool
18,1.81,Ainsley Maitland-Niles,DEF,Arsenal
19,0.7,Ajibola Alese,DEF,West Ham
20,2.41,Albert Sambi Lokonga,MID,Arsenal
21,1.87,Alejandro Garnacho Ferreyra,MID,Man Utd
22,2.54,Alex Iwobi,MID,Everton
23,1.43,Alex Kirk,DEF,Arsenal
24,2.18,Alex Kral,MID,West Ham
25,1.6416666666666668,Alex McCarthy,GK,Southampton
26,2.68,Alex Nicolao Telles,DEF,Man Utd
27,2.35,Alex Oxlade-Chamberlain,MID,Liverpool
28,2.52,Alexandre Lacazette,FWD,Arsenal
29,3.32,Alexis Mac Allister,MID,Brighton
30,1.15,Alfie Devine,MID,Spurs
31,2.89,Alireza Jahanbakhsh,MID,Brighton
32,4.560416666666667,Alisson Ramses Becker,GK,Liverpool
33,1.72,Allan Marques Loureiro,MID,Everton
34,3.21,Allan Saint-Maximin,MID,Newcastle
35,2.9,Alphonse Areola,GK,Fulham
36,1.38,Amad Diallo,MID,Man Utd
37,3.09,Andi Zeqiri,FWD,Brighton
38,2.73,Andre Gray,FWD,Watford
39,2.29,Andreas Christensen,DEF,Chelsea
40,1.15,Andreas Pereira,MID,Man Utd
41,2.26,Andreas Söndergaard,GK,Wolves
42,0.91,Andrew Omobamidele,DEF,Norwich
43,3.51,Andrew Robertson,DEF,Liverpool
44,3.81,Andriy Yarmolenko,MID,West Ham
45,2.2804705882352945,Andros Townsend,MID,Crystal Palace
46,2.38,André Filipe Tavares Gomes,MID,Everton
47,0.63,Andy Lonergan,GK,West Brom
48,2.84,Angelo Ogbonna,DEF,West Ham
49,0.75,Angus Gunn,GK,Southampton
50,1.86,Anthony Elanga,MID,Man Utd
51,1.65,Anthony Gordon,MID,Everton
52,4.99,Anthony Martial,FWD,Man Utd
53,1.57,Antonio Rüdiger,DEF,Chelsea
54,4.62,Anwar El Ghazi,MID,Aston Villa
55,1.15,Archie Gray,MID,Leeds
56,2.06,Armando Broja,FWD,Southampton
57,0.67,Armstrong Oko-Flex,MID,West Ham
58,2.5,Arthur Masuaku,DEF,West Ham
59,0.91,Arthur Okonkwo,GK,Arsenal
60,2.150470588235294,Ashley Barnes,FWD,Burnley
61,3.57,Ashley Fletcher,FWD,Watford
62,3.0,Ashley Westwood,MID,Burnley
63,2.63,Ashley Young,DEF,Aston Villa
64,1.68,Asmir Begović,GK,Everton
65,2.13,Axel Tuanzebe,DEF,Man Utd
66,3.130416666666666,Aymeric Laporte,DEF,Man City
67,1.84,Ayotomiwa Dele-Bashiru,MID,Watford
68,3.25,Ayoze Pérez,MID,Leicester
69,0.7,Bailey Peacock-Farrell,GK,Burnley
70,2.21,Bali Mumba,DEF,Norwich
71,4.51,Bamidele Alli,MID,Spurs
72,1.31,Ben Davies,DEF,Spurs
73,1.76,Ben Foster,GK,Watford
74,2.27,Ben Gibson,DEF,Burnley
75,2.11,Ben Godfrey,DEF,Everton
76,1.46,Ben Johnson,DEF,West Ham
77,1.4304705882352942,Ben Mee,DEF,Burnley
78,0.8,Ben Nelson,DEF,Leicester
79,2.1,Ben White,DEF,Brighton
80,1.84,Ben Wilmot,DEF,Watford
81,0.67,Ben Woodburn,MID,Liverpool
82,4.19,Benjamin Chilwell,DEF,Chelsea
83,1.16,Benjamin Chrisene,MID,Aston Villa
84,2.77,Benjamin Mendy,DEF,Man City
85,2.31,Bernard Anício Caldeira Duarte,MID,Everton
86,1.01,Bernardo Fernandes Da Silva Junior,DEF,Brighton
87,3.54,Bernardo Mota Veiga de Carvalho e Silva,MID,Man City
88,1.5604705882352943,Bernd Leno,GK,Arsenal
89,3.31,Bertrand Traoré,MID,Aston Villa
90,1.1,Billy Gilmour,MID,Chelsea
91,1.05,Björn Engels,DEF,Aston Villa
92,1.89,Bobby Thomas,DEF,Burnley
93,2.35,Boubakary Soumaré,MID,Leicester
