,predict,name,position
0,1.06,Aaron Connolly,FWD
1,2.65,Aaron Cresswell,DEF
2,1.38,Aaron Lennon,MID
3,0.39,Aaron Ramsey,MID
4,2.57,Aaron Wan-Bissaka,DEF
5,2.01,Abdoulaye Doucouré,MID
6,1.44,Adam Armstrong,FWD
7,0.4,Adam Forshaw,MID
8,1.93,Adam Idah,FWD
9,2.03,Adam Lallana,MID
10,0.32,Adam Masina,DEF
11,2.71,Adam Webster,DEF
12,1.3,Adama Traoré,MID
13,0.23,Adedapo Awokoya-Mebude,FWD
14,3.24,Ademola Lookman,MID
15,0.56,Adrián San Miguel del Castillo,GK
16,0.27,Ajibola Alese,DEF
17,2.01,Alex Iwobi,MID
18,0.34,Alex Kral,MID
19,0.79,Alex McCarthy,GK
20,1.99,Alex Nicolao Telles,DEF
21,2.73,Alex Oxlade-Chamberlain,MID
22,2.77,Alexis Mac Allister,MID
23,1.14,Alireza Jahanbakhsh,MID
24,2.5586363636363636,Alisson Ramses Becker,GK
25,2.02,Allan Marques Loureiro,MID
26,4.4,Allan Saint-Maximin,MID
27,0.74,Alphonse Areola,GK
28,0.7,Amad Diallo,MID
29,0.53,Andi Zeqiri,FWD
30,0.45,Andre Gray,FWD
31,0.55,Andreas Pereira,MID
32,0.5,Andreas Söndergaard,GK
33,0.63,Andrew Omobamidele,DEF
34,4.18,Andrew Robertson,DEF
35,1.05,Andriy Yarmolenko,MID
36,1.68,Andros Townsend,MID
37,1.79,André Filipe Tavares Gomes,MID
38,0.26,Andy Lonergan,GK
39,0.69,Angelo Ogbonna,DEF
40,2.45,Angus Gunn,GK
41,1.84,Anthony Elanga,MID
42,2.18,Anthony Gordon,MID
43,2.36,Anthony Martial,FWD
44,2.49,Anwar El Ghazi,MID
45,0.23,Archie Gray,MID
46,3.34,Armando Broja,FWD
47,0.18,Armstrong Oko-Flex,MID
48,1.61,Arthur Masuaku,DEF
49,1.1586363636363637,Ashley Barnes,FWD
50,0.73,Ashley Fletcher,FWD
51,2.17,Ashley Westwood,MID
52,1.23,Ashley Young,DEF
53,0.46,Asmir Begović,GK
54,1.04,Axel Tuanzebe,DEF
55,3.9,Aymeric Laporte,DEF
56,0.29,Ayotomiwa Dele-Bashiru,MID
57,1.19,Ayoze Pérez,MID
58,0.63,Bailey Peacock-Farrell,GK
59,0.61,Bali Mumba,DEF
60,2.0786363636363636,Bamidele Alli,MID
61,1.42,Ben Davies,DEF
62,2.64,Ben Foster,GK
63,1.61,Ben Gibson,DEF
64,1.92,Ben Godfrey,DEF
65,0.66,Ben Johnson,DEF
66,2.2586363636363638,Ben Mee,DEF
67,0.22,Ben Nelson,DEF
68,0.28,Ben Wilmot,DEF
69,0.27,Ben Woodburn,MID
70,0.37,Benjamin Chrisene,MID
71,1.33,Benjamin Mendy,DEF
72,0.71,Bernard Anício Caldeira Duarte,MID
73,0.61,Bernardo Fernandes Da Silva Junior,DEF
74,3.49,Bernardo Mota Veiga de Carvalho e Silva,MID
75,2.83,Bertrand Traoré,MID
76,3.21,Billy Gilmour,MID
77,1.07,Björn Engels,DEF
78,0.67,Bobby Thomas,DEF
79,1.11,Boubakary Soumaré,MID
80,0.39,Brandon Austin,GK
81,1.5,Brandon Williams,DEF
82,0.21,Bruno André Cavaco Jordão,MID
83,0.87,Bruno Guimarães Rodriguez Moura,MID
84,5.27,Bruno Miguel Borges Fernandes,MID
85,0.69,Bryan Gil Salvatierra,MID
86,2.06,Bryan Mbeumo,MID
87,2.25,Callum Wilson,FWD
88,2.15,Calum Chambers,DEF
89,0.21,Cameron Archer,FWD
90,1.01,Caoimhin Kelleher,GK
91,0.83,Carney Chukwuemeka,MID
92,0.75,Cenk Tosun,FWD
93,0.46,Charlie Cresswell,DEF
94,0.39,Charlie Goode,DEF
95,1.31,Charlie Taylor,DEF
96,0.25,Charlie Whitaker,MID
97,3.04,Che Adams,FWD
98,0.81,Cheikhou Kouyaté,MID
99,0.55,Chem Campbell,MID
100,2.1386363636363637,Chris Wood,FWD
101,2.57,Christian Benteke,FWD
